"group","county_fips","State","County_Name","RUCC_2013","lat_rounded","lng_rounded","oc_formatted","lat_rounded_fc","lng_rounded_fc"
"treatment",27139,"MN","Scott County",1,44.655,-93.535,"Amazon Fullfillment Center MSP1, 2601 4th Avenue East, Shakopee, MN 55379, United States of America",44.805,-93.485
"treatment",32003,"NV","Clark County",1,36.215,-115.015,"3837 Bay Lake Trail, North Las Vegas, NV 89030, United States of America",36.225,-115.105
"treatment",32003,"NV","Clark County",1,36.215,-115.015,"East Nexus Way, North Las Vegas, NV 89165, United States of America",36.265,-115.075
"treatment",34003,"NJ","Bergen County",1,40.965,-74.075,"Teterboro, New Jersey, United States of America",40.865,-74.055
"treatment",34015,"NJ","Gloucester County",1,39.715,-75.135,"Logan Township, New Jersey, United States of America",39.795,-75.355
"treatment",34023,"NJ","Middlesex County",1,40.445,-74.405,"Industrial Rd, Carteret, NJ, United States of America",40.595,-74.225
"treatment",34023,"NJ","Middlesex County",1,40.445,-74.405,"380 Middlesex Avenue, Chrome, Carteret, NJ 07008, United States of America",40.575,-74.215
"treatment",34023,"NJ","Middlesex County",1,40.445,-74.405,"Hightstown-Cranbury Station Road, Cranbury Station, Cranbury Township, NJ 18520, United States of America",40.295,-74.495
"treatment",34023,"NJ","Middlesex County",1,40.445,-74.405,"Amazon Fulfillment Center LGA9, 2170 Lincoln Highway, Edison, NJ 08817, United States of America",40.535,-74.375
"treatment",39049,"OH","Franklin County",1,39.975,-83.005,"Gateway Cir, Grove City, OH, United States of America",39.885,-83.045
"treatment",39089,"OH","Licking County",1,40.095,-82.485,"11903 National Road Southwest, Wagram, Etna, OH 43062, United States of America",39.955,-82.715
"treatment",42091,"PA","Montgomery County",1,40.215,-75.365,"Generals Dr, Norristown, PA, United States of America",40.155,-75.355
"treatment",47149,"TN","Rutherford County",1,35.845,-86.415,"Joe B. Jackson Parkway, Murfreesboro, TN 37127, United States of America",35.785,-86.355
"treatment",47189,"TN","Wilson County",1,36.155,-86.295,"Duke Drive, Lebanon, TN, United States of America",36.125,-86.405
"treatment",48029,"TX","Bexar County",1,29.455,-98.515,"Amazon SAT1, 6000 Schertz Parkway, Schertz, TX 78154, United States of America",29.605,-98.285
"treatment",48113,"TX","Dallas County",1,32.765,-96.775,"Amazon Fulfilment Center DFW6, 940 West Bethel Road, Coppell, TX 75019, United States of America",32.965,-97.015
"treatment",48113,"TX","Dallas County",1,32.765,-96.775,"West Sandy Lake Road, Coppell, TX 75019, United States of America",32.975,-96.995
"treatment",48113,"TX","Dallas County",1,32.765,-96.775,"Amazon FTW2, 2701 West Bethel Road, Coppell, TX 75019, United States of America",32.955,-97.025
